# Minimum contributif, minimum majoré et plafond d'écrêtement
# -------------------------------------------------------------
# source_id: dila_legi_minimum_contributif (ancres du code),
#            an_question_ecrite_mico et cnav_montants_minimum (montants servis)
#
# Ces trois grandeurs sont dans la LOI, et non dans les seules circulaires CNAV
# que ce dépôt a longtemps crues leur unique support. Deux articles suffisent :
#
#   D. 351-2-1     du code de la sécurité sociale porte les deux montants —
#                  le minimum, et le minimum MAJORÉ au titre des périodes
#                  cotisées, servi quand la durée cotisée atteint la durée
#                  requise ;
#   D. 173-21-0-0-1 porte le plafond d'écrêtement de l'article L. 173-2 : le
#                  total des pensions personnelles au-delà duquel le complément
#                  est rogné.
#
# CE SONT DES ANCRES DATÉES, PAS DES SÉRIES. Le code n'est pas modifié chaque
# année : les montants sont revalorisés par l'effet de la loi, et l'article est
# réécrit plus souvent qu'il n'est revalorisé — ses versions de 2009 et de 2020
# répètent le montant de 2007 sans y toucher. Une ancre est donc un montant qui
# CHANGE, et le récupérateur ne garde que la première année où chaque valeur
# apparaît, c'est-à-dire le décret qui l'a fixée.
#
# DEUX ORIGINES, ET LA RÉALITÉ PASSE AVANT LA RECONSTITUTION.
#
#   * les ancres du code, certifiées, disent ce qu'un décret a fixé et quand ;
#   * les MONTANTS RÉELLEMENT SERVIS, transcrits de leur publication, disent ce
#     que les caisses ont payé. Ils sont au niveau `haute` — ce sont des
#     transcriptions — et le moteur les préfère à toute projection dès qu'une
#     année en porte un.
#
# Ce n'est pas un détail de méthode. Projeter l'ancre la plus proche donnait
# pour le minimum majoré de 2020 un montant supérieur de 7,6 % à celui que
# l'État a répondu à une question écrite : la réforme de 2023 a relevé ce
# montant de plus de 30 %, et rien n'autorise à faire glisser cette marche en
# arrière. Une valeur transcrite, même sans chemin de certification, vaut mieux
# qu'une valeur calculée qui contredit ce qui a été payé.
#
# Entre deux valeurs connues, et au-delà de la dernière, le modèle projette
# depuis l'ancre EN VIGUEUR à la date demandée — la dernière fixée avant elle,
# jamais une postérieure.
#
# La colonne `annee` porte la date d'effet de l'ancre, et le modèle revalorise :
#
#   * sur le SMIC à partir de cette date — c'est la règle, depuis février 2014
#     pour le plafond et depuis la réforme du 14 avril 2023 pour les deux
#     minima, que la loi indexe expressément sur « le salaire minimum de
#     croissance » ;
#   * sur les prix avant elle, règle qui s'appliquait alors.
#
# Le contrôle est immédiat, et il tombe juste : l'ancre de 2014 rapportée au
# SMIC de 2025 redonne 1 396 €/mois là où les caisses publient 1 394,86 €, et
# celle de 2023 redonne 8 970 €/an là où elles publient 8 972,28 €, 10 721 €
# pour le majoré contre 10 720,68. Deux chemins indépendants qui se rejoignent
# à 0,03 % près.
#
# Montants EN EUROS PAR AN. Le plafond est publié au mois (1 120 €) : il est
# porté ici à l'année.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer, qui le confronte à
# scripts/fetch/dila_legi_minimum_contributif.py.
mesure,annee,valeur,fiabilite
montant_base,2007,6958.210000,certifiee
montant_base,2020,7715.160000,haute
montant_base,2023,8509.610000,certifiee
montant_base,2024,8796.360000,haute
montant_base,2025,8972.280000,haute
montant_base,2026,9075.480000,haute
montant_majore,2007,7603.410000,certifiee
montant_majore,2020,8430.600000,haute
montant_majore,2023,10170.860000,certifiee
montant_majore,2024,10513.560000,haute
montant_majore,2025,10720.680000,haute
montant_majore,2026,10847.160000,haute
plafond_ecretement,2012,12060.000000,certifiee
plafond_ecretement,2014,13440.000000,certifiee
plafond_ecretement,2020,14298.840000,haute
plafond_ecretement,2024,16738.320000,haute
plafond_ecretement,2025,16738.320000,haute
plafond_ecretement,2026,17338.680000,haute
