# Coefficients de revalorisation des salaires portés au compte
# ----------------------------------------------------------
# source_id: cnav_revalorisation_salaires
#
# Fichier écrit par scripts/fetch/cnav_revalorisation_salaires.py :
# ne pas modifier à la main.
#
# Le salaire annuel moyen du régime général est la moyenne des N MEILLEURES
# années, et « meilleures » se juge sur des salaires revalorisés : ces
# coefficients commandent donc à la fois le montant retenu et le CHOIX des
# années. La Cnav les publie en entier dans sa circulaire annuelle de
# revalorisation — celle du circulaire_cnav_2025_29_22122025.pdf, pour une liquidation en 2026.
#
# UNE SEULE COLONNE. Le coefficient entre deux années quelconques est le
# RAPPORT de leurs indices :
#
#     coefficient(perception, liquidation) = indice[perception] / indice[liquidation]
#
# parce que l'arrêté annuel applique un coefficient unique à tous les salaires
# déjà portés au compte, quelle que soit leur année de perception. Reconstruire
# ainsi les colonnes publiées pour d'autres années de liquidation les retrouve à
# 0.3% près — l'arrondi à trois décimales de la table. Le récupérateur
# le revérifie à chaque exécution et refuse d'écrire si la borne est franchie.
#
# L'indice de l'année de référence vaut 1 : un salaire perçu l'année de la
# liquidation n'est pas revalorisé.
#
# Hors de la plage — perceptions antérieures à 1930, liquidations
# postérieures à 2026 — le modèle ancre sur la borne connue et prolonge
# par son approximation « les salaires jusqu'en 1986, les prix depuis ».
#
# fiabilite : `haute`. La circulaire est la publication de la caisse, non le
# Journal officiel : elle transcrit l'arrêté et l'instruction interministérielle
# qu'elle cite. Une transcription ne peut pas être `certifiee`.
annee_perception,annee_reference,coefficient,fiabilite
1930,2026,2592.23,haute
1931,2026,2592.23,haute
1932,2026,2592.23,haute
1933,2026,2592.23,haute
1934,2026,2592.23,haute
1935,2026,2592.23,haute
1936,2026,2329.7,haute
1937,2026,1864.73,haute
1938,2026,1691.67,haute
1939,2026,1552.72,haute
1940,2026,1552.72,haute
1941,2026,1035.6,haute
1942,2026,665.477,haute
1943,2026,665.477,haute
1944,2026,537.535,haute
1945,2026,266.281,haute
1946,2026,219.192,haute
1947,2026,170.736,haute
1948,2026,119.205,haute
1949,2026,100.755,haute
1950,2026,88.389,haute
1951,2026,62.722,haute
1952,2026,52.265,haute
1953,2026,51.546,haute
1954,2026,48.169,haute
1955,2026,44.397,haute
1956,2026,39.633,haute
1957,2026,36.865,haute
1958,2026,32.475,haute
1959,2026,29.387,haute
1960,2026,27.287,haute
1961,2026,23.726,haute
1962,2026,20.453,haute
1963,2026,18.255,haute
1964,2026,16.442,haute
1965,2026,15.381,haute
1966,2026,14.534,haute
1967,2026,13.759,haute
1968,2026,12.683,haute
1969,2026,10.995,haute
1970,2026,9.988,haute
1971,2026,8.958,haute
1972,2026,8.073,haute
1973,2026,7.459,haute
1974,2026,6.576,haute
1975,2026,5.535,haute
1976,2026,4.702,haute
1977,2026,4.056,haute
1978,2026,3.647,haute
1979,2026,3.325,haute
1980,2026,2.924,haute
1981,2026,2.58,haute
1982,2026,2.304,haute
1983,2026,2.173,haute
1984,2026,2.06,haute
1985,2026,1.974,haute
1986,2026,1.93,haute
1987,2026,1.858,haute
1988,2026,1.816,haute
1989,2026,1.751,haute
1990,2026,1.704,haute
1991,2026,1.677,haute
1992,2026,1.623,haute
1993,2026,1.623,haute
1994,2026,1.595,haute
1995,2026,1.577,haute
1996,2026,1.538,haute
1997,2026,1.522,haute
1998,2026,1.505,haute
1999,2026,1.487,haute
2000,2026,1.48,haute
2001,2026,1.449,haute
2002,2026,1.418,haute
2003,2026,1.395,haute
2004,2026,1.374,haute
2005,2026,1.348,haute
2006,2026,1.324,haute
2007,2026,1.302,haute
2008,2026,1.29,haute
2009,2026,1.279,haute
2010,2026,1.267,haute
2011,2026,1.256,haute
2012,2026,1.231,haute
2013,2026,1.205,haute
2014,2026,1.191,haute
2015,2026,1.191,haute
2016,2026,1.19,haute
2017,2026,1.19,haute
2018,2026,1.181,haute
2019,2026,1.164,haute
2020,2026,1.153,haute
2021,2026,1.149,haute
2022,2026,1.137,haute
2023,2026,1.085,haute
2024,2026,1.031,haute
2025,2026,1.009,haute
2026,2026,1,haute
