# Indice des prix à la consommation — variation annuelle moyenne, France
# source_id: insee_bdm_ipc (1950-2025), insee_ipc_long (1930-1949)
# unite: taux de variation annuel moyen, en fraction (0.052 = +5,2 %)
# fiabilite:
#   certifiee (1950-2025) : recalculée depuis l'indice annuel publié par
#             l'INSEE et recontrôlée par scripts/verifier_donnees.py.
#             Base 100 en 1980 jusqu'en 1990, base 2015 ensuite, chaînées.
#   estimee   (1930-1949) : reconstitution historique. La BDM ne remonte pas
#             avant 1949 ; ces valeurs proviennent du tableau « L'indice des
#             prix à la consommation depuis 1901 », saisi à la main, et
#             traversent deux ruptures monétaires.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées au
# prochain scripts/verifier_donnees.py --appliquer.
annee,variation,fiabilite
1930,-0.025,estimee
1931,-0.047,estimee
1932,-0.086,estimee
1933,-0.042,estimee
1934,-0.057,estimee
1935,-0.080,estimee
1936,0.089,estimee
1937,0.257,estimee
1938,0.136,estimee
1939,0.070,estimee
1940,0.177,estimee
1941,0.215,estimee
1942,0.202,estimee
1943,0.266,estimee
1944,0.215,estimee
1945,0.483,estimee
1946,0.519,estimee
1947,0.492,estimee
1948,0.587,estimee
1949,0.132,estimee
1950,0.10791,certifiee
1951,0.16883,certifiee
1952,0.11667,certifiee
1953,-0.00995,certifiee
1954,0.00000,certifiee
1955,0.01005,certifiee
1956,0.01990,certifiee
1957,0.03415,certifiee
1958,0.15094,certifiee
1959,0.06148,certifiee
1960,0.03475,certifiee
1961,0.03358,certifiee
1962,0.04693,certifiee
1963,0.04828,certifiee
1964,0.03289,certifiee
1965,0.02548,certifiee
1966,0.02795,certifiee
1967,0.02719,certifiee
1968,0.04412,certifiee
1969,0.06479,certifiee
1970,0.05291,certifiee
1971,0.05528,certifiee
1972,0.06190,certifiee
1973,0.07175,certifiee
1974,0.13808,certifiee
1975,0.11765,certifiee
1976,0.09704,certifiee
1977,0.09295,certifiee
1978,0.09053,certifiee
1979,0.10818,certifiee
1980,0.13507,certifiee
1981,0.13400,certifiee
1982,0.11817,certifiee
1983,0.09621,certifiee
1984,0.07410,certifiee
1985,0.05827,certifiee
1986,0.02658,certifiee
1987,0.03144,certifiee
1988,0.02690,certifiee
1989,0.03609,certifiee
1990,0.03371,certifiee
1991,0.03264,certifiee
1992,0.02299,certifiee
1993,0.02107,certifiee
1994,0.01651,certifiee
1995,0.01894,certifiee
1996,0.01992,certifiee
1997,0.01172,certifiee
1998,0.00644,certifiee
1999,0.00512,certifiee
2000,0.01654,certifiee
2001,0.01627,certifiee
2002,0.01970,certifiee
2003,0.02053,certifiee
2004,0.02130,certifiee
2005,0.01854,certifiee
2006,0.01627,certifiee
2007,0.01489,certifiee
2008,0.02813,certifiee
2009,0.00086,certifiee
2010,0.01522,certifiee
2011,0.02112,certifiee
2012,0.01954,certifiee
2013,0.00872,certifiee
2014,0.00503,certifiee
2015,0.00040,certifiee
2016,0.00180,certifiee
2017,0.01038,certifiee
2018,0.01847,certifiee
2019,0.01106,certifiee
2020,0.00480,certifiee
2021,0.01642,certifiee
2022,0.05223,certifiee
2023,0.04875,certifiee
2024,0.02001,certifiee
2025,0.00943,certifiee
