# SMIC horaire brut, en euros courants de chaque année
# ---------------------------------------------------------
# source_id: openfisca_france
#
# Barème en vigueur au 1er JANVIER de l'année : c'est celui qu'oppose la
# caisse pour valider les trimestres de l'année entière.
#
# Sert exclusivement à la validation des trimestres du scénario « système
# actuel » : un trimestre s'acquiert par un montant cotisé, pas par le temps
# qui passe. Voir data/reference/legislation/validation_trimestres.csv pour le
# nombre d'heures exigé, qui a changé en 1972 et en 2014.
#
# Valeurs en francs jusqu'au barème de juillet 2001, converties en euros par
# division par 6,55957 — conversion arithmétique, sans revalorisation.
#
# D'OÙ VIENNENT CES VALEURS. Des décrets qui relèvent le SMIC, LUS dans la base
# LEGI de la DILA par `scripts/fetch/dila_legi_smic.py` : « A compter du
# 1er juillet 1997 […] le montant du salaire minimum de croissance est porté à
# 39,43 F de l'heure en métropole ». Niveau `certifiee` de 1997 à 2017, et les
# vingt valeurs saisies s'y sont retrouvées à l'identique.
#
# TROIS PÉRIODES RESTENT AU NIVEAU `haute`, transcrites d'OpenFisca-France, et
# chacune pour une raison qui se vérifie :
#
#   avant 1997  la base ne porte pas les décrets de cette période ;
#   2002        le décret en vigueur au 1er janvier est encore en francs
#               (43,72 F, soit 6,6651 €) alors que le SMIC opposable est de
#               6,67 € — un arrondi fixé par un texte de conversion absent du
#               dump. On ne l'invente pas ;
#   depuis 2018 les décrets récents ne sont pas entrés dans la base des textes
#               consolidés. Une année dont le décret a plus de 365 jours
#               signale un texte manquant, l'article L. 3231-5 imposant un
#               relèvement au moins annuel.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer.
annee,smic_horaire,fiabilite
1970,0.498508,haute
1971,0.553390,haute
1972,0.600649,haute
1973,0.693643,haute
1974,0.827798,haute
1975,1.029031,haute
1976,1.202823,haute
1977,1.362894,haute
1978,1.533637,haute
1979,1.724198,haute
1980,1.971166,haute
1981,2.254721,haute
1982,2.766950,haute
1983,3.093191,haute
1984,3.472789,haute
1985,3.713658,haute
1986,3.969772,haute
1987,4.103928,haute
1988,4.244181,haute
1989,4.384434,haute
1990,4.559750,haute
1991,4.869222,haute
1992,4.978985,haute
1993,5.192414,haute
1994,5.309799,haute
1995,5.421087,haute
1996,5.637565,haute
1997,5.779342,certifiee
1998,6.011065,certifiee
1999,6.131499,certifiee
2000,6.207724,certifiee
2001,6.405908,certifiee
2002,6.670000,haute
2003,6.830000,certifiee
2004,7.190000,certifiee
2005,7.610000,certifiee
2006,8.030000,certifiee
2007,8.270000,certifiee
2008,8.440000,certifiee
2009,8.710000,certifiee
2010,8.860000,certifiee
2011,9.000000,certifiee
2012,9.220000,certifiee
2013,9.430000,certifiee
2014,9.530000,certifiee
2015,9.610000,certifiee
2016,9.670000,certifiee
2017,9.760000,certifiee
2018,9.880000,haute
2019,10.030000,haute
2020,10.150000,haute
2021,10.250000,haute
2022,10.570000,haute
2023,11.270000,haute
2024,11.650000,haute
2025,11.880000,haute
2026,12.020000,haute
