# Espérances de vie observées et projetées, France
# source_id: insee_bdm_esperance_vie (e0, e60), oecd_health_le (e65 depuis 1960),
#            ined_vallin_mesle (e65 d'avant 1960, dérivée des quotients),
#            insee_projections_mortalite (2026-2125, dérivée des quotients projetés)
# unite: années
# sexe: H | F
# mesure: e0 (à la naissance) | e60 (à 60 ans) | e65 (à 65 ans)
#
# FORMAT
# ------
# Une ligne par (année, sexe, mesure), pour que chaque mesure porte SA propre
# fiabilité : l'espérance de vie à 60 ans est certifiée annuellement depuis
# 1946, celle à 65 ans depuis 1960 seulement.
#
# POURQUOI e65 VIENT DE L'OCDE, ET D'OÙ VIENNENT LES ANNÉES D'AVANT 1960
# ----------------------------------------------------------------------
# L'INSEE publie l'espérance de vie à 0, 1, 20, 40 et 60 ans — jamais à 65 ans,
# dont la calibration a pourtant besoin pour fixer la pente de la force de
# mortalité. L'OCDE la publie depuis 1960 et la tient de l'INSEE ; Eurostat la
# publie aussi, depuis 1986, et sert de contrôle croisé. Les deux coïncident
# exactement sur leurs 78 valeurs communes.
#
# Avant 1960, personne ne la publie. Ces années étaient saisies depuis les
# tables TD/TV — quatre valeurs, pour 1946 et 1950 — et les treize autres
# étaient INTERPOLÉES entre elles. Elles sont désormais DÉRIVÉES des quotients
# de mortalité du moment que porte `quotients_periode.csv`, certifiés de 1899 à
# 1985 par les tables de Vallin et Meslé : une espérance de vie n'est rien
# d'autre que la somme cumulée des survies, et il n'y avait plus de raison de
# la saisir une fois les quotients acquis.
#
# La méthode se contrôle d'elle-même, et c'est ce contrôle qui l'autorise :
# appliquée à e60, que l'INSEE publie et que ce fichier certifie, elle retrouve
# la valeur publiée à moins d'un dixième d'année sur toute la période ;
# appliquée à e65 après 1960, elle retrouve l'OCDE dans la même marge. Deux des
# quatre valeurs saisies s'en écartaient — 1946 pour les deux sexes, d'un
# demi-an chez les hommes — et l'interpolation effaçait les creux réels de 1949
# et 1951.
#
# Ces valeurs portent `haute` et non `certifiee` : elles sont calculées, non
# confrontées à une publication. Elles sont en revanche RECALCULÉES à chaque
# exécution de scripts/verifier_donnees.py depuis un fichier certifié, ce
# qu'aucune saisie ne peut offrir.
#
# fiabilite:
#   certifiee : valeur recontrôlée contre la source par scripts/verifier_donnees.py
#   haute / moyenne : valeur publiée, saisie à la main, pas encore recontrôlée
#   projetee : scénario central des projections de population INSEE 2026,
#              dérivée de ses quotients par âge (voir ci-dessous)
#
# USAGE DANS LE MODÈLE
# --------------------
# Ces espérances servent à CALIBRER une table de mortalité paramétrique de
# Gompertz-Makeham (cf. src/retraite_notionnelle/donnees/mortalite.py) : pour
# chaque couple (année, sexe) les paramètres b et k sont ajustés de manière à
# reproduire e60 et e65, et a est fixé au niveau de mortalité accidentelle.
# Depuis l'intégration de mortalite/quotients_periode.csv, cette calibration ne
# sert plus que là où les tables observées ne vont pas : avant 1986, au-delà du
# dernier âge publié, et pour les années projetées.
#
# Les années intermédiaires sont interpolées linéairement par le chargeur ;
# e0 n'est pas utilisé par le moteur, il sert de repère et de contrôle.
#
# LES ANNÉES PROJETÉES SONT DÉRIVÉES, PLUS SAISIES
# -------------------------------------------------
# Elles l'étaient : six années rondes — 2030, 2040, 2050, 2060, 2070, et 2080
# qui dépassait l'horizon de l'exercice dont elle se réclamait —, le reste
# interpolé, et la valeur de 2080 gelée jusqu'à la fin de la projection. Trois
# défauts d'un coup : un millésime périmé, une extrapolation muette, et une
# espérance de vie qui cessait de progresser vingt ans avant 2100.
#
# Les projections de population 2026 de l'INSEE publient les quotients de
# mortalité par âge et par année, de 0 à 120 ans et jusqu'en 2125. Le dépôt en
# dérive e0, e60 et e65 année par année, de 2026 à 2125, par la méthode qui sert
# déjà aux années d'avant 1960 : une espérance de vie n'est que la somme cumulée
# des survies. Plus d'interpolation, plus de gel, et e65 — que l'INSEE ne publie
# jamais — obtenue de la même main que les deux autres.
#
# La somme se fait SANS le demi-an de la formule usuelle : ce classeur indexe
# ses quotients par âge atteint dans l'année, qui le comprend déjà. Ce n'est pas
# un raisonnement mais une mesure — la méthode retrouve l'espérance de vie à la
# naissance que l'INSEE publie pour 2070, 89,5 ans et 86,7 ans, au centième, et
# la série projetée rejoint l'observée sans marche : 85,90 an observé en 2025
# pour les femmes, 85,93 dérivé en 2026. Avec le demi-an, les deux contrôles
# tombaient à faux d'autant. scripts/fetch/insee_projections_mortalite.py
# refait ce contrôle à chaque exécution et échoue s'il casse.
annee,sexe,mesure,valeur,fiabilite
1946,F,e0,65.20,certifiee
1946,F,e60,18.00,certifiee
1946,F,e65,14.23,haute
1946,H,e0,59.90,certifiee
1946,H,e60,15.40,certifiee
1946,H,e65,12.15,haute
1947,F,e0,66.70,certifiee
1947,F,e60,18.20,certifiee
1947,F,e65,14.43,haute
1947,H,e0,61.20,certifiee
1947,H,e60,15.50,certifiee
1947,H,e65,12.25,haute
1948,F,e0,68.80,certifiee
1948,F,e60,18.70,certifiee
1948,F,e65,14.98,haute
1948,H,e0,62.70,certifiee
1948,H,e60,15.60,certifiee
1948,H,e65,12.50,haute
1949,F,e0,67.60,certifiee
1949,F,e60,17.70,certifiee
1949,F,e65,13.88,haute
1949,H,e0,62.20,certifiee
1949,H,e60,14.90,certifiee
1949,H,e65,11.68,haute
1950,F,e0,69.20,certifiee
1950,F,e60,18.40,certifiee
1950,F,e65,14.60,haute
1950,H,e0,63.40,certifiee
1950,H,e60,15.40,certifiee
1950,H,e65,12.18,haute
1951,F,e0,68.90,certifiee
1951,F,e60,17.90,certifiee
1951,F,e65,14.15,haute
1951,H,e0,63.10,certifiee
1951,H,e60,14.90,certifiee
1951,H,e65,11.74,haute
1952,F,e0,70.20,certifiee
1952,F,e60,18.60,certifiee
1952,F,e65,14.80,haute
1952,H,e0,64.40,certifiee
1952,H,e60,15.50,certifiee
1952,H,e65,12.26,haute
1953,F,e0,70.30,certifiee
1953,F,e60,18.10,certifiee
1953,F,e65,14.27,haute
1953,H,e0,64.30,certifiee
1953,H,e60,15.00,certifiee
1953,H,e65,11.75,haute
1954,F,e0,71.20,certifiee
1954,F,e60,18.90,certifiee
1954,F,e65,15.04,haute
1954,H,e0,65.00,certifiee
1954,H,e60,15.50,certifiee
1954,H,e65,12.35,haute
1955,F,e0,71.50,certifiee
1955,F,e60,18.90,certifiee
1955,F,e65,15.03,haute
1955,H,e0,65.20,certifiee
1955,H,e60,15.40,certifiee
1955,H,e65,12.27,haute
1956,F,e0,71.70,certifiee
1956,F,e60,18.70,certifiee
1956,F,e65,14.81,haute
1956,H,e0,65.20,certifiee
1956,H,e60,15.20,certifiee
1956,H,e65,12.01,haute
1957,F,e0,72.20,certifiee
1957,F,e60,19.00,certifiee
1957,F,e65,15.18,haute
1957,H,e0,65.50,certifiee
1957,H,e60,15.30,certifiee
1957,H,e65,12.22,haute
1958,F,e0,73.20,certifiee
1958,F,e60,19.50,certifiee
1958,F,e65,15.59,haute
1958,H,e0,66.80,certifiee
1958,H,e60,16.00,certifiee
1958,H,e65,12.79,haute
1959,F,e0,73.40,certifiee
1959,F,e60,19.60,certifiee
1959,F,e65,15.65,haute
1959,H,e0,66.80,certifiee
1959,H,e60,15.90,certifiee
1959,H,e65,12.75,haute
1960,F,e0,73.60,certifiee
1960,F,e60,19.50,certifiee
1960,F,e65,15.60,certifiee
1960,H,e0,67.00,certifiee
1960,H,e60,15.70,certifiee
1960,H,e65,12.50,certifiee
1961,F,e0,74.40,certifiee
1961,F,e60,20.10,certifiee
1961,F,e65,16.10,certifiee
1961,H,e0,67.50,certifiee
1961,H,e60,16.10,certifiee
1961,H,e65,12.80,certifiee
1962,F,e0,73.90,certifiee
1962,F,e60,19.60,certifiee
1962,F,e65,15.70,certifiee
1962,H,e0,67.00,certifiee
1962,H,e60,15.70,certifiee
1962,H,e65,12.60,certifiee
1963,F,e0,73.80,certifiee
1963,F,e60,19.50,certifiee
1963,F,e65,15.60,certifiee
1963,H,e0,66.80,certifiee
1963,H,e60,15.50,certifiee
1963,H,e65,12.40,certifiee
1964,F,e0,74.80,certifiee
1964,F,e60,20.30,certifiee
1964,F,e65,16.40,certifiee
1964,H,e0,67.70,certifiee
1964,H,e60,16.00,certifiee
1964,H,e65,12.90,certifiee
1965,F,e0,74.70,certifiee
1965,F,e60,20.10,certifiee
1965,F,e65,16.20,certifiee
1965,H,e0,67.50,certifiee
1965,H,e60,15.70,certifiee
1965,H,e65,12.70,certifiee
1966,F,e0,75.20,certifiee
1966,F,e60,20.50,certifiee
1966,F,e65,16.60,certifiee
1966,H,e0,67.80,certifiee
1966,H,e60,16.10,certifiee
1966,H,e65,13.00,certifiee
1967,F,e0,75.20,certifiee
1967,F,e60,20.40,certifiee
1967,F,e65,16.50,certifiee
1967,H,e0,67.80,certifiee
1967,H,e60,15.90,certifiee
1967,H,e65,12.80,certifiee
1968,F,e0,75.20,certifiee
1968,F,e60,20.40,certifiee
1968,F,e65,16.40,certifiee
1968,H,e0,67.80,certifiee
