# Quotients de mortalité par âge — tables du moment, France
# source_id: eurostat_mlifetable (1986-2024), ined_vallin_mesle (1899-1985)
# unite: probabilité de décès dans l'année, entre 0 et 1
#
# Ce fichier PRIME sur la calibration paramétrique : dès qu'un couple
# (année, sexe, âge) y figure, le moteur l'utilise tel quel et n'appelle
# pas la loi de Gompertz-Makeham. Hors des années et des âges couverts, la
# loi paramétrique reprend la main : c'est un raccord assumé, pas un oubli.
#
# DEUX SOURCES, ET UNE SEULE PAR ANNÉE.
#   1899-1985 : tables de Vallin et Meslé, publiées par l'INED, par année
#               d'âge jusqu'à 104 ans. Ces années-là n'avaient aucun quotient
#               observé : le modèle les reconstituait toutes par sa loi.
#   1986-2024 : Eurostat, producteur de la donnée observée, jusqu'à 94 ans.
#               Au-delà de 94 ans, sur ces années-là, la loi reprend la main.
# Les deux se recouvrent en fait de 1986 à 1997, et concordent à un demi-point
# de pourcentage près sur 85 âges — c'est ce recoupement qui autorise à les
# aboucher. On ne panache pas pour autant deux sources sur une même année.
#
# Champ : France métropolitaine jusqu'en 1997, France entière ensuite.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer : ne pas
# modifier à la main.
annee,sexe,age,qx,fiabilite
1899,F,0,0.154065,certifiee
1899,F,1,0.034419,certifiee
1899,F,10,0.003643,certifiee
1899,F,100,0.409811,certifiee
1899,F,101,0.491739,certifiee
1899,F,102,0.489847,certifiee
1899,F,103,0.555518,certifiee
1899,F,104,0.749973,certifiee
1899,F,11,0.003553,certifiee
1899,F,12,0.003403,certifiee
1899,F,13,0.003795,certifiee
1899,F,14,0.004109,certifiee
1899,F,15,0.004637,certifiee
1899,F,16,0.005037,certifiee
1899,F,17,0.005676,certifiee
1899,F,18,0.006056,certifiee
1899,F,19,0.005935,certifiee
1899,F,2,0.020085,certifiee
1899,F,20,0.006764,certifiee
1899,F,21,0.006699,certifiee
1899,F,22,0.007312,certifiee
1899,F,23,0.007013,certifiee
1899,F,24,0.006898,certifiee
1899,F,25,0.007589,certifiee
1899,F,26,0.007491,certifiee
1899,F,27,0.007703,certifiee
1899,F,28,0.007538,certifiee
1899,F,29,0.007292,certifiee
1899,F,3,0.012878,certifiee
1899,F,30,0.008233,certifiee
1899,F,31,0.007706,certifiee
1899,F,32,0.008577,certifiee
1899,F,33,0.008016,certifiee
1899,F,34,0.007934,certifiee
1899,F,35,0.008491,certifiee
1899,F,36,0.008523,certifiee
1899,F,37,0.008607,certifiee
1899,F,38,0.008987,certifiee
1899,F,39,0.008695,certifiee
1899,F,4,0.009642,certifiee
1899,F,40,0.009496,certifiee
1899,F,41,0.008623,certifiee
1899,F,42,0.009767,certifiee
1899,F,43,0.009534,certifiee
1899,F,44,0.009449,certifiee
1899,F,45,0.010699,certifiee
1899,F,46,0.010399,certifiee
1899,F,47,0.010302,certifiee
1899,F,48,0.011671,certifiee
1899,F,49,0.011697,certifiee
1899,F,5,0.006905,certifiee
1899,F,50,0.012578,certifiee
1899,F,51,0.012665,certifiee
1899,F,52,0.014806,certifiee
1899,F,53,0.014285,certifiee
1899,F,54,0.014484,certifiee
1899,F,55,0.016859,certifiee
1899,F,56,0.018370,certifiee
1899,F,57,0.018575,certifiee
1899,F,58,0.020901,certifiee
1899,F,59,0.021189,certifiee
1899,F,6,0.005670,certifiee
1899,F,60,0.026395,certifiee
1899,F,61,0.024824,certifiee
1899,F,62,0.029201,certifiee
1899,F,63,0.030782,certifiee
1899,F,64,0.033342,certifiee
1899,F,65,0.038896,certifiee
1899,F,66,0.040851,certifiee
1899,F,67,0.043068,certifiee
1899,F,68,0.048310,certifiee
1899,F,69,0.050949,certifiee
1899,F,7,0.004662,certifiee
1899,F,70,0.061064,certifiee
1899,F,71,0.061670,certifiee
1899,F,72,0.076127,certifiee
1899,F,73,0.075552,certifiee
1899,F,74,0.083391,certifiee
1899,F,75,0.100848,certifiee
1899,F,76,0.105542,certifiee
1899,F,77,0.106753,certifiee
1899,F,78,0.120706,certifiee
1899,F,79,0.129781,certifiee
1899,F,8,0.004246,certifiee
1899,F,80,0.158163,certifiee
1899,F,81,0.145108,certifiee
1899,F,82,0.173583,certifiee
1899,F,83,0.178143,certifiee
1899,F,84,0.203849,certifiee
1899,F,85,0.212278,certifiee
1899,F,86,0.232869,certifiee
1899,F,87,0.258110,certifiee
1899,F,88,0.266082,certifiee
1899,F,89,0.250690,certifiee
1899,F,9,0.003632,certifiee
1899,F,90,0.285849,certifiee
1899,F,91,0.321184,certifiee
1899,F,92,0.328904,certifiee
1899,F,93,0.386692,certifiee
1899,F,94,0.312641,certifiee
1899,F,95,0.368333,certifiee
