# Valeurs d'achat et de service du point, régime par régime
# source_id: openfisca_points (Agirc depuis 1947, Ircantec depuis 1949)
#
# mesure :
#   salaire_reference : prix d'achat du point, en euros courants de l'année.
#                       cotisation / (taux_appel × salaire_reference) = points acquis
#   valeur_service    : rente annuelle servie par un point, euros courants
#   taux_appel        : écart entre ce qui est prélevé et ce qui ouvre des
#                       droits. 1,25 depuis 1995 : cotiser 125 € n'acquiert
#                       que 100 € de points.
#
# Règle annuelle : valeur en vigueur au 31 décembre de l'année. Le salaire
# de référence change au 1er janvier, la valeur de service au 1er avril
# autrefois et au 1er novembre aujourd'hui.
#
# fiabilite :
#   haute   : transcription OpenFisca du texte de la circulaire
#   moyenne : valeurs de l'UNIRS tenant lieu de point Arrco avant son
#             unification de 1999, ou valeur saisie depuis le texte légal
#
# Repère de contrôle : Agirc-Arrco 2025, salaire de référence 20,1877 €,
# valeur de service 1,4386 €, taux d'appel 1,27 — soit un rendement
# instantané de 5,61 %, la valeur que publie le régime.
#
# Fichier écrit par scripts/verifier_donnees.py --appliquer : ne pas
# modifier à la main.
regime,annee,mesure,valeur,fiabilite
agirc,1947,salaire_reference,0.039600,haute
agirc,1947,valeur_service,0.006098,haute
agirc,1948,salaire_reference,0.056400,haute
agirc,1948,taux_appel,1.000000,haute
agirc,1948,valeur_service,0.009147,haute
agirc,1949,salaire_reference,0.064000,haute
agirc,1949,taux_appel,1.000000,haute
agirc,1949,valeur_service,0.009147,haute
agirc,1950,salaire_reference,0.079300,haute
agirc,1950,taux_appel,1.000000,haute
agirc,1950,valeur_service,0.012196,haute
agirc,1951,salaire_reference,0.096000,haute
agirc,1951,taux_appel,1.000000,haute
agirc,1951,valeur_service,0.016769,haute
agirc,1952,salaire_reference,0.115900,haute
agirc,1952,taux_appel,0.780000,haute
agirc,1952,valeur_service,0.019056,haute
agirc,1953,salaire_reference,0.118900,haute
agirc,1953,taux_appel,0.800000,haute
agirc,1953,valeur_service,0.019056,haute
agirc,1954,salaire_reference,0.132600,haute
agirc,1954,taux_appel,0.800000,haute
agirc,1954,valeur_service,0.019056,haute
agirc,1955,salaire_reference,0.149400,haute
agirc,1955,taux_appel,0.850000,haute
agirc,1955,valeur_service,0.019818,haute
agirc,1956,salaire_reference,0.163100,haute
agirc,1956,taux_appel,0.850000,haute
agirc,1956,valeur_service,0.021343,haute
agirc,1957,salaire_reference,0.176800,haute
agirc,1957,taux_appel,0.850000,haute
agirc,1957,valeur_service,0.022867,haute
agirc,1958,salaire_reference,0.198200,haute
agirc,1958,taux_appel,0.850000,haute
agirc,1958,valeur_service,0.027441,haute
agirc,1959,salaire_reference,0.216500,haute
agirc,1959,taux_appel,0.850000,haute
agirc,1959,valeur_service,0.030490,haute
agirc,1960,salaire_reference,0.231700,haute
agirc,1960,taux_appel,0.850000,haute
agirc,1960,valeur_service,0.033539,haute
agirc,1961,salaire_reference,0.257600,haute
agirc,1961,taux_appel,0.900000,haute
agirc,1961,valeur_service,0.035063,haute
agirc,1962,salaire_reference,0.283600,haute
agirc,1962,taux_appel,0.900000,haute
agirc,1962,valeur_service,0.038874,haute
agirc,1963,salaire_reference,0.303400,haute
agirc,1963,taux_appel,0.900000,haute
agirc,1963,valeur_service,0.041161,haute
agirc,1964,salaire_reference,0.330800,haute
agirc,1964,taux_appel,0.900000,haute
agirc,1964,valeur_service,0.045735,haute
agirc,1965,salaire_reference,0.347600,haute
agirc,1965,taux_appel,0.950000,haute
agirc,1965,valeur_service,0.048021,haute
agirc,1966,salaire_reference,0.367400,haute
agirc,1966,taux_appel,1.000000,haute
agirc,1966,valeur_service,0.049546,haute
agirc,1967,salaire_reference,0.388700,haute
agirc,1967,taux_appel,1.000000,haute
agirc,1967,valeur_service,0.051833,haute
agirc,1968,salaire_reference,0.422300,haute
agirc,1968,taux_appel,1.000000,haute
agirc,1968,valeur_service,0.055644,haute
agirc,1969,salaire_reference,0.457300,haute
agirc,1969,taux_appel,1.000000,haute
agirc,1969,valeur_service,0.061742,haute
agirc,1970,salaire_reference,0.497000,haute
agirc,1970,taux_appel,1.000000,haute
agirc,1970,valeur_service,0.066315,haute
agirc,1971,salaire_reference,0.541200,haute
agirc,1971,taux_appel,1.000000,haute
agirc,1971,valeur_service,0.074700,haute
agirc,1972,salaire_reference,0.591500,haute
agirc,1972,taux_appel,1.000000,haute
agirc,1972,valeur_service,0.083085,haute
agirc,1973,salaire_reference,0.647900,haute
agirc,1973,taux_appel,1.000000,haute
agirc,1973,valeur_service,0.091469,haute
agirc,1974,salaire_reference,0.733300,haute
agirc,1974,taux_appel,1.000000,haute
agirc,1974,valeur_service,0.102903,haute
agirc,1975,salaire_reference,0.844600,haute
agirc,1975,taux_appel,1.000000,haute
agirc,1975,valeur_service,0.115251,haute
agirc,1976,salaire_reference,0.933000,haute
agirc,1976,taux_appel,1.000000,haute
agirc,1976,valeur_service,0.129582,haute
agirc,1977,salaire_reference,1.027500,haute
agirc,1977,taux_appel,1.000000,haute
agirc,1977,valeur_service,0.138729,haute
agirc,1978,salaire_reference,1.131200,haute
agirc,1978,taux_appel,1.000000,haute
agirc,1978,valeur_service,0.152449,haute
agirc,1979,salaire_reference,1.263800,haute
agirc,1979,taux_appel,1.030000,haute
agirc,1979,valeur_service,0.166779,haute
agirc,1980,salaire_reference,1.436100,haute
agirc,1980,taux_appel,1.030000,haute
agirc,1980,valeur_service,0.185988,haute
agirc,1981,salaire_reference,1.616000,haute
agirc,1981,taux_appel,1.030000,haute
agirc,1981,valeur_service,0.210075,haute
agirc,1982,salaire_reference,1.795800,haute
agirc,1982,taux_appel,1.030000,haute
agirc,1982,valeur_service,0.231723,haute
agirc,1983,salaire_reference,1.992500,haute
agirc,1983,taux_appel,1.030000,haute
agirc,1983,valeur_service,0.253065,haute
agirc,1984,salaire_reference,2.116000,haute
agirc,1984,taux_appel,1.030000,haute
agirc,1984,valeur_service,0.264651,haute
agirc,1985,salaire_reference,2.259300,haute
agirc,1985,taux_appel,1.030000,haute
agirc,1985,valeur_service,0.280354,haute
agirc,1986,salaire_reference,2.378200,haute
agirc,1986,taux_appel,1.060000,haute
agirc,1986,valeur_service,0.287366,haute
agirc,1987,salaire_reference,2.442200,haute
agirc,1987,taux_appel,1.100000,haute
agirc,1987,valeur_service,0.293922,haute
agirc,1988,salaire_reference,2.542800,haute
agirc,1988,taux_appel,1.100000,haute
agirc,1988,valeur_service,0.300782,haute
